body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
-0.007459,-0.004208,-0.071055
-0.008110,-0.010393,0.002576
-0.004377,-0.007615,-0.009631
0.003092,-0.002060,-0.034045
-0.001640,-0.011685,-0.004819
-0.004008,-0.016498,0.009794
-0.000711,-0.000204,-0.053017
0.004979,-0.004143,-0.049065
0.016354,-0.012029,-0.041161
-0.000206,0.000179,-0.031585
-0.008485,0.006286,-0.026797
0.011941,0.005784,-0.024618
0.002108,0.004022,-0.025963
-0.017560,0.000504,-0.028653
0.007429,-0.005407,-0.020909
0.019923,-0.008365,-0.017036
-0.022793,0.004095,-0.039551
-0.017749,0.002926,-0.015676
-0.007661,0.000596,0.032074
-0.017124,0.000814,-0.010200
-0.021857,0.000919,-0.031337
-0.033435,0.003820,0.053189
-0.024622,0.001755,0.021576
-0.006994,-0.002385,-0.041649
0.007569,0.003355,-0.036218
0.014852,0.006222,-0.033502
-0.000305,0.013212,0.005079
-0.004087,0.005242,0.018189
-0.011647,-0.010697,0.044409
-0.002053,-0.002728,0.010306
0.002745,0.001256,-0.006746
-0.012340,-0.002037,0.030358
-0.007391,0.001335,0.029380
0.002505,0.008081,0.027424
0.002912,0.013733,0.014638
0.003115,0.016560,0.008246
0.011111,0.029960,0.014895
0.006561,0.024288,0.010726
-0.002541,0.012942,0.002391
0.008558,0.011731,-0.015609
0.014106,0.011126,-0.024610
0.006466,0.031033,-0.016215
0.000973,0.029549,-0.011591
-0.010010,0.026584,-0.002341
-0.017663,0.009035,0.003052
-0.021489,0.000260,0.005751
-0.008901,0.007787,-0.063816
-0.011381,0.007193,-0.057344
-0.016341,0.006008,-0.044400
-0.007499,0.010743,0.013055
-0.003075,0.013113,0.041782
-0.005518,0.023693,-0.037301
-0.004611,0.017925,-0.029857
-0.002796,0.006387,-0.014970
-0.006270,-0.013915,-0.025479
-0.008009,-0.024065,-0.030734
-0.008950,-0.016642,0.013976
-0.017146,-0.017602,0.002825
-0.033533,-0.019526,-0.019480
0.003889,-0.007330,-0.015213
0.022600,-0.001235,-0.013078
-0.000503,-0.019660,0.014471
-0.013173,-0.017651,0.005196
-0.038509,-0.013637,-0.013358
-0.004740,-0.018013,0.019041
0.012142,-0.020197,0.035243
-0.017442,-0.000648,-0.019603
-0.007826,-0.005097,-0.019992
0.011402,-0.014000,-0.020770
-0.000004,-0.008952,0.008153
-0.005708,-0.006429,0.022614
0.001992,0.005307,0.005582
-0.003292,0.004154,0.012279
-0.013860,0.001847,0.025674
-0.004313,0.000298,0.002546
0.000461,-0.000477,-0.009017
-0.012621,0.003664,0.004900
-0.010286,0.006431,0.006836
-0.005617,0.011966,0.010709
0.001787,-0.002898,-0.036577
0.005487,-0.010331,-0.060220
0.003238,0.007720,-0.056137
-0.000815,0.004366,-0.045724
-0.008924,-0.002340,-0.024899
0.003037,0.015235,-0.029241
0.009019,0.024021,-0.031413
-0.004765,0.014929,-0.015425
0.001970,0.010688,-0.017786
0.015439,0.002203,-0.022511
-0.009439,0.018113,0.026860
-0.021875,0.026067,0.051547
0.003183,-0.004475,-0.052355
0.009023,-0.001218,-0.046854
0.020706,0.005289,-0.035852
0.005039,0.019030,-0.006322
-0.002791,0.025900,0.008445
-0.006905,-0.005408,-0.000994
-0.002645,0.004888,-0.001920
0.005878,0.025481,-0.003775
0.005448,0.012976,-0.011654
0.005231,0.006723,-0.015594
-0.000804,0.013183,-0.006949
-0.000165,0.014609,-0.004130
0.001114,0.017463,0.001508
-0.001475,0.004246,0.005633
-0.002769,-0.002363,0.007696
0.013963,0.008587,-0.023492
0.003917,0.011395,-0.010234
-0.016171,0.017012,0.016285
-0.007469,0.004098,0.013120
-0.003117,-0.002359,0.011538
0.003755,0.019174,0.025645
0.005604,0.016090,0.020945
0.009302,0.009922,0.011545
0.002979,0.013215,0.015490
-0.000182,0.014861,0.017463
0.002082,0.009034,0.034323
0.002355,-0.000011,0.021117
0.002904,-0.018102,-0.005294
0.011257,0.007280,0.010301
0.015432,0.019971,0.018100
0.006194,0.013685,0.024954
0.006426,0.008108,0.029615
0.006895,-0.003045,0.038936
-0.005758,0.008152,0.019299
-0.012086,0.013748,0.009481
0.016348,0.022842,-0.013169
0.011561,0.015358,-0.008218
0.001986,0.000391,0.001684
0.010253,0.008460,-0.016477
0.014387,0.012495,-0.025557
-0.001091,0.026823,0.002048
0.000116,0.020593,0.004781
0.002532,0.008132,0.010247
-0.013114,-0.001750,-0.030677
-0.020939,-0.006692,-0.051138
-0.001034,0.022726,0.013932
-0.004457,0.017089,0.014624
-0.011300,0.005813,0.016009
-0.004321,0.015126,-0.007732
-0.000833,0.019782,-0.019604
