joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.021365,-0.020790,0.130579,0.010511,-0.020145,0.055000,0.033217,-0.065610,-0.082649,-0.041097,0.005592,0.430497,0.249600,0.023088,0.025136,0.000000,-0.049834,-0.004126,0.000000,0.464332,-0.242174,0.015643,-0.051736,-0.006363,0.008706,0.016307,-0.001875,-0.006245,0.017488
0.026500,-0.019881,0.109564,0.011855,-0.027137,0.057013,0.028646,-0.094289,-0.053760,-0.019423,0.028518,0.422800,0.225223,0.012470,0.031665,0.000000,-0.060954,-0.000253,0.000000,0.452403,-0.234669,0.016093,-0.064405,0.003050,0.016676,0.029679,0.003800,-0.016723,0.019091
0.003387,0.012449,0.164941,-0.025148,0.046635,0.038835,-0.010964,-0.008232,-0.112930,-0.060693,-0.071314,0.367463,0.221763,0.050474,0.051106,0.000000,-0.002600,-0.042282,0.000000,0.382973,-0.192124,-0.016333,0.040770,-0.029470,-0.049852,-0.011989,0.034734,0.023283,-0.024584
0.008714,0.009041,0.153345,-0.014834,0.045317,0.038481,-0.000993,0.007273,-0.096262,-0.067170,-0.054981,0.354944,0.216792,0.046295,0.038075,0.000000,-0.006599,-0.028672,0.000000,0.369685,-0.181514,-0.019114,0.017650,-0.019464,-0.044864,-0.011234,0.023971,0.017380,-0.015770
0.019369,0.002225,0.130153,0.005795,0.042681,0.037774,0.018949,0.038282,-0.062925,-0.080123,-0.022316,0.329908,0.206849,0.037937,0.012013,0.000000,-0.014597,-0.001452,0.000000,0.343108,-0.160296,-0.024676,-0.028589,0.000550,-0.034887,-0.009722,0.002446,0.005575,0.001858
0.011007,-0.017877,0.116909,0.004157,0.012355,0.043045,0.037051,0.006518,-0.073831,-0.043296,-0.012903,0.304794,0.176889,0.017740,0.034298,0.000000,-0.022902,0.002564,0.000000,0.319810,-0.147354,-0.032868,-0.016258,0.005461,-0.018985,-0.013070,0.003777,0.019973,-0.003541
0.006825,-0.027927,0.110288,0.003338,-0.002807,0.045680,0.046103,-0.009364,-0.079284,-0.024882,-0.008197,0.292237,0.161910,0.007641,0.045441,0.000000,-0.027055,0.004572,0.000000,0.308161,-0.140882,-0.036964,-0.010092,0.007917,-0.011034,-0.014744,0.004442,0.027172,-0.006240
-0.009114,-0.026660,0.084902,-0.002614,0.010132,0.029486,0.015365,0.006012,-0.053370,-0.009311,0.010030,0.266144,0.124934,0.018020,0.006009,0.000000,-0.021801,0.007222,0.000000,0.288785,-0.111969,-0.030456,-0.037783,-0.010444,0.008191,-0.010972,-0.011369,0.012671,-0.001085
-0.001406,-0.019862,0.077200,0.017332,0.001044,0.035010,0.024622,-0.001185,-0.042534,0.002501,0.023369,0.263700,0.125864,0.010338,-0.009969,0.000000,-0.018103,0.011485,0.000000,0.271153,-0.109341,-0.028374,-0.023274,0.000404,-0.007153,-0.005480,-0.003930,0.017269,0.004643
0.014010,-0.006265,0.061795,0.057224,-0.017130,0.046058,0.043134,-0.015579,-0.020863,0.026125,0.050048,0.258814,0.127723,-0.005027,-0.041925,0.000000,-0.010707,0.020013,0.000000,0.235891,-0.104084,-0.024211,0.005744,0.022098,-0.037839,0.005504,0.010950,0.026463,0.016099
0.013182,0.016090,0.051221,0.019222,0.008265,0.037352,0.009498,-0.022900,-0.025001,-0.034410,0.016683,0.230937,0.120786,0.013985,-0.072068,0.000000,-0.014058,0.005385,0.000000,0.236139,-0.080997,-0.037236,0.013959,0.004903,-0.038531,0.001066,0.015644,0.005877,0.020990
0.012767,0.027268,0.045934,0.000222,0.020962,0.032999,-0.007320,-0.026561,-0.027071,-0.064677,0.000000,0.216999,0.117317,0.023490,-0.087140,0.000000,-0.015734,-0.001930,0.000000,0.236263,-0.069454,-0.043749,0.018067,-0.003694,-0.038878,-0.001153,0.017991,-0.004416,0.023436
