joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.899156,-0.027807,-0.091303,0.752286,-0.549919,0.304649,0.188622,-0.318432,0.169827,0.795077,0.243468,0.243210,0.051874,-0.128179,-0.027235,2.251500,-0.972021,-0.107443,0.261800,1.257150,-0.132783,1.637755,1.237282,-0.218531,0.430267,-0.128111,-0.133179,0.157039,-0.143386
-0.898626,-0.028204,-0.089111,0.752523,-0.550462,0.305789,0.189194,-0.320317,0.168751,0.794688,0.244038,0.251666,0.056378,-0.127929,-0.026601,2.251500,-0.973240,-0.107448,0.261800,1.266199,-0.137477,1.638077,1.235994,-0.218470,0.430600,-0.127518,-0.133103,0.156705,-0.143004
-0.898558,-0.027955,-0.085813,0.752020,-0.549529,0.306566,0.188975,-0.320482,0.166493,0.793474,0.242612,0.259015,0.060813,-0.126920,-0.025579,2.251500,-0.973292,-0.108294,0.261800,1.273858,-0.141319,1.637750,1.236809,-0.219059,0.429603,-0.127757,-0.132409,0.157170,-0.143496
-0.898384,-0.027774,-0.082746,0.751723,-0.548623,0.307335,0.188955,-0.320337,0.164568,0.792131,0.241512,0.266114,0.065149,-0.125994,-0.024818,2.251500,-0.973424,-0.108867,0.261800,1.281252,-0.144949,1.637368,1.237162,-0.219448,0.428706,-0.127982,-0.131929,0.157518,-0.143811
-0.897997,-0.027730,-0.080143,0.751839,-0.547770,0.308091,0.189334,-0.319571,0.163309,0.790529,0.241066,0.272712,0.069286,-0.125235,-0.024578,2.251500,-0.973716,-0.108896,0.261800,1.288114,-0.148155,1.636874,1.236591,-0.219437,0.428008,-0.128177,-0.131880,0.157629,-0.143774
-0.897776,-0.028087,-0.077805,0.751922,-0.547522,0.308952,0.190075,-0.319441,0.161832,0.789663,0.240808,0.278808,0.072824,-0.124880,-0.023892,2.251500,-0.974174,-0.108845,0.261800,1.294510,-0.151102,1.636217,1.236265,-0.219328,0.427628,-0.128438,-0.131805,0.158029,-0.143845
-0.897640,-0.028646,-0.075599,0.751989,-0.547579,0.309865,0.190997,-0.319628,0.160247,0.789165,0.240644,0.284653,0.076062,-0.124727,-0.022983,2.251500,-0.974715,-0.108753,0.261800,1.300673,-0.153920,1.635477,1.236064,-0.219170,0.427408,-0.128733,-0.131716,0.158572,-0.143970
-0.897822,-0.029179,-0.073901,0.751937,-0.547376,0.310455,0.191305,-0.319508,0.159179,0.788979,0.240845,0.289976,0.078561,-0.124367,-0.022863,2.251500,-0.975151,-0.108609,0.261800,1.306449,-0.156160,1.634868,1.235308,-0.219379,0.427571,-0.128952,-0.131943,0.158826,-0.143991
-0.897850,-0.029576,-0.072357,0.752283,-0.547355,0.311155,0.191797,-0.319531,0.158329,0.789029,0.241312,0.295250,0.081078,-0.124160,-0.023062,2.251500,-0.975513,-0.108379,0.261800,1.311872,-0.158346,1.634301,1.234842,-0.219371,0.427428,-0.129062,-0.132022,0.159171,-0.143899
-0.897570,-0.029702,-0.071121,0.753428,-0.547698,0.312076,0.192660,-0.319843,0.157911,0.789551,0.242313,0.300426,0.083633,-0.124261,-0.023900,2.251500,-0.975728,-0.107979,0.261800,1.316590,-0.160428,1.633817,1.234957,-0.218929,0.426672,-0.128952,-0.131803,0.159700,-0.143577
